rollout/ep_rew_mean,time/fps,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/clip_fraction,train/explained_variance,train/clip_range,train/learning_rate,train/loss,train/n_updates,train/approx_kl,train/value_loss,train/entropy_loss,train/policy_gradient_loss
-7.5299999999999985,1171,1,1024,0,50.0,,,,,,,,,,
-7.245,762,2,2048,2,50.0,0.015625,0.009464502334594727,0.2,0.0003,1.1130647659301758,10,0.017671254,4.409016805887222,-0.6851936362683773,-0.002618528681341559
-6.86,716,3,3072,4,50.0,0.0,0.30721163749694824,0.2,0.0003,0.7515938878059387,20,0.002230463,2.400318796932697,-0.6710528630763293,-0.0007825204287655651
-6.135,705,4,4096,5,50.0,0.11064453125,0.5452283918857574,0.2,0.0003,0.6053515076637268,30,0.012917826,1.6267638090997933,-0.6290792025625705,-0.010346419445704668
-5.376,684,5,5120,7,50.0,0.1681640625,0.5188188254833221,0.2,0.0003,1.1890558004379272,40,0.010873914,2.0881729789078234,-0.5715591512620449,-0.01634077525814064
-4.0040000000000004,672,6,6144,9,50.1,0.0955078125,0.47584253549575806,0.2,0.0003,1.2275251150131226,50,0.008055394,1.9863685004413127,-0.5157659320160747,-0.012727105524390936
-2.1870000000000003,663,7,7168,10,49.91,0.12548828125,0.5325640439987183,0.2,0.0003,0.8568167686462402,60,0.009209583,1.950653886795044,-0.4438856398686767,-0.016085829329676928
-0.6469999999999999,663,8,8192,12,49.59,0.10732421875,0.5383875072002411,0.2,0.0003,0.8121883273124695,70,0.005532615,1.7453254364430904,-0.3616927020251751,-0.01262518881703727
0.8030000000000002,664,9,9216,13,48.85,0.0693359375,0.5572538673877716,0.2,0.0003,0.4451644718647003,80,0.0037902077,1.2355114359408617,-0.30442982763051984,-0.00803649282315746
2.2809999999999997,664,10,10240,15,47.22,0.05498046875,0.15870654582977295,0.2,0.0003,0.18015523254871368,90,0.0053294655,0.4482210375368595,-0.23493861192837356,-0.005654571310151369
2.8109999999999995,660,11,11264,17,47.69,0.11064453125,0.61526820063591,0.2,0.0003,0.08536955714225769,100,0.03859786,0.29897086406126616,-0.29672504412010314,-0.02702981428010389
3.4939999999999993,653,12,12288,18,48.43,0.02705078125,0.7878818511962891,0.2,0.0003,0.0785011276602745,110,0.0019612391,0.2564719890244305,-0.2239645049907267,-0.004186239186674356
3.9499999999999993,653,13,13312,20,49.6,0.06376953125,0.8557297885417938,0.2,0.0003,0.05932426080107689,120,0.004574337,0.17479943335056305,-0.2113514761440456,-0.007593931988230907
4.2459999999999996,651,14,14336,21,52.11,0.03056640625,0.8701992928981781,0.2,0.0003,0.0748414695262909,130,0.0030450542,0.1744252264034003,-0.17339521246030926,-0.0036107509105931966
4.6739999999999995,647,15,15360,23,55.67,0.03017578125,0.8064245134592056,0.2,0.0003,0.21598942577838898,140,0.00448398,0.28606174932792783,-0.16551454067230226,-0.0052623667870648205
4.972999999999999,631,16,16384,25,58.21,0.0125,0.765801802277565,0.2,0.0003,0.15316906571388245,150,0.0006734854,0.341011805087328,-0.15695476583205165,-0.0018877231457736343
5.151999999999999,629,17,17408,27,59.46,0.00283203125,0.6641229391098022,0.2,0.0003,0.20974627137184143,160,0.0012306743,0.5191004930064083,-0.167894723219797,-1.0504579404368996e-05
5.324,623,18,18432,29,60.82,0.013671875,0.646702915430069,0.2,0.0003,0.28729134798049927,170,0.0016417664,0.5663810594007372,-0.16194995860569178,-0.0018859574222005904
5.470999999999999,622,19,19456,31,62.02,0.024609375,0.7438966333866119,0.2,0.0003,0.20453020930290222,180,0.0016982784,0.43835030449554324,-0.147428090358153,-0.003658969566458836
5.6,620,20,20480,33,63.04,0.02109375,0.7095839977264404,0.2,0.0003,0.1972123235464096,190,0.0023244952,0.48827176317572596,-0.16539902263320982,-0.0029474008595570924
5.547,619,21,21504,34,62.69,0.01396484375,0.6852691769599915,0.2,0.0003,0.3065977692604065,200,0.0012944321,0.5529349582269788,-0.14438695521093906,-0.002280083205550909
5.5520000000000005,617,22,22528,36,62.65,0.03671875,0.7168366611003876,0.2,0.0003,0.2107735425233841,210,0.002122426,0.504461270198226,-0.13769852318800985,-0.004206217383034528
5.443,617,23,23552,38,61.92,0.00810546875,0.7163223326206207,0.2,0.0003,0.3324589133262634,220,0.0005301691,0.5607272937893868,-0.1224058972671628,-0.0007950179628096521
5.555,617,24,24576,39,62.95,0.0033203125,0.7065025568008423,0.2,0.0003,0.13282378017902374,230,0.0004154546,0.5304294554516673,-0.12478131735697388,-0.0001291877997573465
5.618999999999999,616,25,25600,41,63.59,0.0248046875,0.7351701557636261,0.2,0.0003,0.19274508953094482,240,0.003420632,0.5135752890259028,-0.1451638272497803,-0.0013110596424667164
5.546999999999998,616,26,26624,43,62.96,0.01611328125,0.7053404748439789,0.2,0.0003,0.3008115589618683,250,0.0008530256,0.5570521986111998,-0.12162221022881567,-0.0021993109665345402
5.3839999999999995,616,27,27648,44,61.78,0.02890625,0.7079297304153442,0.2,0.0003,0.28718045353889465,260,0.0012887337,0.560113244690001,-0.10960321628954262,-0.004370542272226885
5.443,616,28,28672,46,62.28,0.01435546875,0.7320550084114075,0.2,0.0003,0.22532472014427185,270,0.00036754803,0.4746539709158242,-0.10769896337296814,-0.00020948098390363156
5.777999999999999,616,29,29696,48,64.91,0.0177734375,0.767577514052391,0.2,0.0003,0.22214244306087494,280,0.0013976763,0.4537767019122839,-0.1165513665182516,-0.002270432806108147
5.685999999999999,617,30,30720,49,64.26,0.0236328125,0.7229339480400085,0.2,0.0003,0.1791769564151764,290,0.0025362424,0.4836236473172903,-0.11872200325597078,-0.0014289935119450093
5.956,617,31,31744,51,66.24,0.015625,0.6111872792243958,0.2,0.0003,0.2971458435058594,300,0.0016217488,0.6719909463077783,-0.0993641345296055,-0.003059844142990187
6.380999999999999,616,32,32768,53,69.59,0.02138671875,0.6761424839496613,0.2,0.0003,0.2839178740978241,310,0.001050867,0.6440889723598957,-0.09148552876431496,-0.0012563119002152235
6.539,616,33,33792,54,70.81,0.01240234375,0.5504203736782074,0.2,0.0003,0.31803104281425476,320,0.0010724645,0.6635794745758176,-0.09971093584317714,-0.0016494796611368657
6.831999999999999,615,34,34816,56,73.2,0.01103515625,0.49054574966430664,0.2,0.0003,0.49665355682373047,330,0.0010879862,1.087267968431115,-0.09326709161978215,-0.002814091369509697
6.781000000000001,614,35,35840,58,72.87,0.00947265625,0.5190495252609253,0.2,0.0003,0.5248375535011292,340,0.000363676,0.9906812325119972,-0.08707491958048194,-0.0005292671034112572
6.864,611,36,36864,60,73.61,0.00927734375,0.5805878639221191,0.2,0.0003,0.37332338094711304,350,0.0010019337,1.0039294868707658,-0.08093228575307876,-0.0008075340942014009
6.952999999999999,607,37,37888,62,74.32,0.03447265625,0.5647615194320679,0.2,0.0003,0.3368333876132965,360,0.0018012512,0.8173010846599936,-0.07286072762217373,-0.004584547824924812
7.1549999999999985,607,38,38912,64,75.98,0.02353515625,0.46287208795547485,0.2,0.0003,0.5625405311584473,370,0.0010538421,1.0531291030347347,-0.0788322055246681,-0.001768641412490979
6.755,606,39,39936,65,72.97,0.01005859375,0.32190150022506714,0.2,0.0003,0.7530442476272583,380,0.0014549943,1.1999784953892232,-0.08657054309733211,-0.00016646417789161204
6.844999999999999,606,40,40960,67,73.69,0.02626953125,0.4610695242881775,0.2,0.0003,0.6024811267852783,390,0.0023540147,1.177762822806835,-0.07651811836403795,-0.0036633787793107333
6.903,605,41,41984,69,74.18,0.02041015625,0.4499303698539734,0.2,0.0003,0.6219437122344971,400,0.0011543718,1.1196490772068501,-0.08885338837280869,-0.0015399800904560834
7.375000000000001,604,42,43008,71,78.0,0.0173828125,0.44251441955566406,0.2,0.0003,0.5947421193122864,410,0.000938225,0.9904011119157076,-0.08618951786775142,-0.002019246300915256
7.62,603,43,44032,72,79.91,0.01435546875,0.4135488271713257,0.2,0.0003,0.5680366158485413,420,0.00055469695,1.3024185191839934,-0.08595716140698642,-0.0003766735957469791
7.619,603,44,45056,74,79.72,0.03212890625,0.4722723960876465,0.2,0.0003,0.6708372831344604,430,0.003771238,1.091905289515853,-0.09765386804938317,-0.004253040079493076
7.519000000000001,602,45,46080,76,78.72,0.023046875,0.7330945730209351,0.2,0.0003,0.21241962909698486,440,0.0012985566,0.5941632343456149,-0.10244086065795273,-0.0012990868417546153
7.325000000000001,601,46,47104,78,77.14,0.01533203125,0.6549861431121826,0.2,0.0003,0.4929221272468567,450,0.0005117528,0.8800520798191428,-0.0876874660840258,-0.0010275621083565057
7.552999999999998,600,47,48128,80,78.88,0.03193359375,0.6836181581020355,0.2,0.0003,0.3558315634727478,460,0.0033062943,0.7287940485402942,-0.07846716234926135,-0.004720607242779807
7.781000000000001,599,48,49152,82,80.71,0.00849609375,0.7804448306560516,0.2,0.0003,0.23442907631397247,470,0.0010931008,0.43583507467992605,-0.09827509173192084,0.00048616189742460846
